lambda,K,raw_violations,controlled_violations,excursions_prevented,prevention_pct,raw_Cpk_mon,controlled_Cpk_mon,Cpk_lift
0.1,0.25,400,265,135,33.75,1.8262853638056058,2.1134463077691295,0.28716094396352365
0.1,0.5,400,254,146,36.5,1.8262853638056058,2.1141127346407,0.287827370835094
0.1,0.75,400,272,128,32.0,1.8262853638056058,2.114358628897555,0.2880732650919493
0.1,1.0,400,266,134,33.5,1.8262853638056058,2.1143058260105145,0.28802046220490873
0.2,0.25,400,237,163,40.75,1.8262853638056058,2.113694823608228,0.2874094598026222
0.2,0.5,400,205,195,48.75,1.8262853638056058,2.1146998257956757,0.2884144619900699
0.2,0.75,400,212,188,47.0,1.8262853638056058,2.113676771727064,0.2873914079214581
0.2,1.0,400,215,185,46.25,1.8262853638056058,2.1121034174975306,0.2858180536919248
0.3,0.25,400,219,181,45.25,1.8262853638056058,2.11401788158423,0.2877325177786243
0.3,0.5,400,199,201,50.24999999999999,1.8262853638056058,2.114061753756656,0.28777638995105037
0.3,0.75,400,199,201,50.24999999999999,1.8262853638056058,2.112880074786158,0.286594710980552
0.3,1.0,400,181,219,54.75,1.8262853638056058,2.1129415176259396,0.2866561538203338
0.5,0.25,400,219,181,45.25,1.8262853638056058,2.114330716933478,0.2880453531278724
0.5,0.5,400,173,227,56.75,1.8262853638056058,2.1139687721923037,0.2876834083866979
0.5,0.75,400,148,252,63.0,1.8262853638056058,2.1137760707512285,0.28749070694562273
0.5,1.0,400,148,252,63.0,1.8262853638056058,2.11386844880841,0.2875830850028043
0.7,0.25,400,207,193,48.25,1.8262853638056058,2.1143896175868853,0.28810425378127946
0.7,0.5,400,180,220,55.00000000000001,1.8262853638056058,2.114156654711177,0.2878712909055714
0.7,0.75,400,147,253,63.24999999999999,1.8262853638056058,2.113914475426561,0.2876291116209553
0.7,1.0,400,141,259,64.75,1.8262853638056058,2.1138034677012687,0.2875181038956629
