sensor,t2_appearances,spe_appearances,total_appearances,appearance_rate,fail_correlated_appearances
sensor_160,4,14,18,0.46153846153846156,3
sensor_26,4,12,16,0.41025641025641024,0
sensor_79,7,9,16,0.41025641025641024,3
sensor_21,5,11,16,0.41025641025641024,5
sensor_103,5,11,16,0.41025641025641024,4
sensor_510,6,9,15,0.38461538461538464,4
sensor_129,5,10,15,0.38461538461538464,2
sensor_431,4,7,11,0.28205128205128205,3
sensor_210,9,2,11,0.28205128205128205,5
sensor_348,8,1,9,0.23076923076923078,4
sensor_430,3,5,8,0.20512820512820512,3
sensor_180,5,3,8,0.20512820512820512,0
sensor_28,8,0,8,0.20512820512820512,2
sensor_122,4,4,8,0.20512820512820512,2
sensor_434,3,4,7,0.1794871794871795,3
sensor_125,1,6,7,0.1794871794871795,1
sensor_316,4,2,6,0.15384615384615385,0
sensor_164,3,3,6,0.15384615384615385,3
sensor_163,4,2,6,0.15384615384615385,4
sensor_59,5,0,5,0.1282051282051282,5
sensor_33,5,0,5,0.1282051282051282,3
sensor_165,3,2,5,0.1282051282051282,3
sensor_247,4,0,4,0.10256410256410256,3
sensor_124,4,0,4,0.10256410256410256,0
sensor_121,4,0,4,0.10256410256410256,1
